z1,z2,z3,Class
0.81773067,-0.012842894,-0.74555534,5
0.93932605,0.06037557,-0.9582005,0
-0.6948938,-0.19738638,-0.49122146,4
0.07644105,-0.42080808,-1.1939285,1
-0.58428097,-0.52049327,-0.8524226,9
0.603768,0.43975413,-0.87961376,2
-1.3956289,-0.5402756,-1.7088488,1
0.7458421,-0.07877731,-0.623905,3
-0.617621,-0.4934113,-1.6195612,1
-0.33450663,-0.2767489,-0.7114263,4
0.3959118,-0.16368222,-1.3610302,3
0.018743873,0.1272409,-1.1836568,5
-1.5804367,-0.412354,-0.0058402456,3
-0.6945503,-0.13626242,-0.6361288,6
-1.1620847,-0.572315,-1.6176465,1
-1.1077484,-0.4527459,-0.38669106,7
-0.3199209,0.24957788,-0.7222719,2
0.25157917,-0.18616354,-0.98307836,8
-0.06339437,-0.29648018,-1.3602768,6
-0.3221194,-0.3922441,-1.4012942,9
-0.9067508,-0.17712283,-0.5864437,4
0.5609417,0.17567432,-0.58184385,0
-0.35783786,-0.4153707,-1.3975588,9
0.16011882,-0.39042497,-1.2296864,1
0.14558935,-0.15571988,-0.97335964,1
0.36280918,0.29725683,-0.40798366,2
-0.5932774,-0.67368984,-1.6571238,4
-0.022256613,-0.2662574,-0.09291545,3
-1.3803675,-0.62439156,-0.3067482,2
-0.53039813,-0.27067626,-1.101199,7
-2.009395,-0.3731699,-0.5779006,3
0.76282954,0.10095763,-0.7660884,8
-1.266993,-0.23161018,-1.2631673,6
0.328058,-0.12761736,-0.9981956,9
0.75843143,-0.26077235,-0.81907696,0
0.18374741,-0.039064527,-1.160288,5
-0.091201425,-0.3269137,-1.1993694,6
0.88447285,0.030018449,-0.51399386,0
-1.6908606,-0.21394897,-0.5178963,7
-0.41878688,-0.20869768,-1.0376518,6
-0.9678806,-0.5641947,-1.74592,1
0.059906125,-0.4072907,-1.20795,8
-1.1741226,-0.83036256,-1.4300997,7
0.07873249,-0.42897773,-1.5607026,9
-1.0464183,-0.624835,-1.4828619,3
-0.8044814,-0.78334,-0.9535559,9
-0.908769,-0.6267035,-0.85674196,8
