z1,z2,z3,Class
0.64611936,0.9749201,0.6298977,9
-1.0467441,-1.2862537,0.8005438,0
0.3143096,-0.73589945,-0.88631076,0
0.29483247,-0.74443555,-0.34257522,3
0.6842295,-1.5967753,-0.5584778,0
0.30096054,-0.18463969,1.2989029,2
-1.0767851,0.72350013,-1.1521492,7
0.80469024,0.18957543,2.2522118,2
2.025559,0.31947708,-1.2581943,5
2.0266242,0.50089157,-0.6889386,5
-1.075928,-1.3313961,0.23173755,0
2.2824254,0.23485518,0.77363163,9
-0.28965145,0.57341325,-0.5187141,5
-0.46069598,0.48169863,-1.18604,5
-1.7077036,0.21878207,-1.3858566,7
0.5710031,1.2593966,0.23623016,9
1.9574198,-0.8487637,-0.5211736,1
-1.3876054,-1.6136339,0.34194344,0
0.04855573,-0.26966834,1.2669736,6
-0.08203459,-0.2765311,-0.02421292,4
-0.693863,-1.8731163,-0.40593588,3
1.0440673,-1.1537135,-0.7765849,1
0.7738193,-0.60643125,0.2061472,4
-0.5216613,0.60485125,1.042212,8
0.62663066,-0.68196154,1.0788491,4
0.4711976,-1.6116111,0.15309307,3
-0.6319741,-0.51056933,0.90940946,0
0.5849211,-0.22621417,1.9191587,2
0.43661118,-0.4284351,0.459784,4
0.37039113,-0.441653,1.3373125,4
-1.5775979,-0.18711281,-2.0060167,5
0.03204143,-0.9979093,-0.9196786,3
0.034549356,-0.53057265,0.91821605,6
0.049329996,-0.20413029,-0.558306,6
-0.8460715,-0.5361364,-0.47418904,0
-2.441268,-0.09342837,0.16326547,8
1.0988351,-0.044997215,-0.13446137,5
-0.16646475,0.096539974,0.64081115,2
1.7362682,-1.374758,-1.5934181,1
0.5352098,-0.85524416,1.4921174,6
0.19003546,-0.5017333,1.1818008,6
-0.96730846,0.86933583,-0.8494184,7
0.26380122,1.516212,-0.026083767,9
-0.34756988,0.66884613,-1.2577965,5
1.1571761,0.7404139,1.5420871,9
0.084038615,-0.3084557,0.9290899,2
-0.9598694,0.81293076,-0.9699125,7
0.119419575,-1.6518347,0.18536976,3
-0.991189,-1.0951462,0.43759206,0
0.6346241,-1.4473772,0.5896763,3
-0.20676053,-1.7948222,-0.76500547,3
-0.24396557,-1.6425493,-0.76073825,3
-0.9229422,0.8612239,-0.9065516,7
0.7653973,-0.61939,2.0384593,2
0.30911064,-0.3504672,-0.0730401,2
-0.75679934,-1.1630266,0.7172208,6
-0.6288534,-1.1007376,0.2138372,6
-2.4372392,-0.7640431,-0.008331101,8
0.22976625,-1.9239342,-0.9958972,3
-0.25976515,-1.3659761,-1.5997375,3
0.928653,0.51610744,-0.10287118,5
-0.83950984,-0.6258106,0.37512717,0
-0.32060754,0.33834493,-1.3754593,5
-1.2740358,-0.30118346,-1.5725675,5
1.1359729,-1.1688652,-0.15046835,0
0.052660584,-0.22435617,1.4534452,2
-1.2347034,-1.4382737,0.7240338,0
0.3826357,-0.9904809,-0.32124475,0
0.3195554,-0.075403094,0.9259096,4
0.4985168,-1.0948341,-1.6830181,1
0.42561388,-0.53900456,0.7317798,3
1.5076495,-1.0531187,-1.0598972,1
-0.84247446,-1.0518281,-0.10166983,6
0.5714419,-1.7601156,-0.62743264,3
1.1750232,-1.1192622,-1.4592048,1
0.65760636,-1.2865815,0.7476907,4
1.2076346,-0.5496392,0.1318908,4
-0.8187772,-0.42968392,1.2278749,6
1.2670878,-0.8427594,-1.7113818,1
2.1259236,1.144943,0.3755681,9
1.4328605,-1.3332717,-0.9220823,1
-0.8520939,-1.0363951,-0.9708986,3
0.9472581,0.47904718,-0.86908513,5
-1.3528249,1.0130448,-1.2066793,7
1.0185724,0.72241265,1.0054609,9
-0.50448096,0.8128341,-0.5975591,7
1.2187859,-1.179841,-1.0659653,1
-1.2554528,0.527179,-1.5561349,7
2.2944632,0.44746804,0.9716483,9
0.15948248,1.1980634,-0.4914215,9
0.6503066,0.8475539,-0.3326681,9
-0.18030351,-1.2762663,-1.0255299,3
-0.16676193,-0.11390805,0.014528461,2
0.0041054487,1.2854048,-0.13948685,9
-0.19284928,-1.4864471,0.0015300885,3
0.12365425,-0.36719108,0.53028625,6
0.10756159,-0.37044477,-0.41964844,4
2.148972,-1.2865624,-2.2283027,1
1.4193329,-1.0552499,-0.50372314,1
-1.4158721,0.72309506,1.0982639,8
-2.168078,0.109607935,1.2623942,8
0.6718774,-1.0991342,0.082182504,0
0.88979816,-1.456183,-2.3351169,1
2.039528,-1.1637998,-2.7322495,1
-0.022305071,-0.3705852,0.41185027,6
-0.5264567,1.0235846,0.560699,8
1.2710835,-1.1641555,-1.0361017,1
0.4228338,1.2550031,-0.34234804,9
-1.1619925,1.1350799,-0.91355765,7
-1.1898627,0.9591435,1.2682244,8
-0.9175138,1.2462919,0.47084293,8
