z1,z2,z3,Class
-0.30045152,-0.80772215,0.002255628,9
0.18684638,1.5927248,0.00063785026,0
1.0547905,0.24567825,0.0032620197,0
0.7284801,0.8978856,0.0021326996,3
1.1001251,1.0709267,0.0025221023,0
-0.8227864,0.90837437,-0.00021022192,2
0.0961771,-1.8510997,0.0038737222,7
-1.2048686,1.0334306,-0.0009072175,2
0.8393631,-0.4325351,0.0036021904,5
0.37473083,-0.62472457,0.0030917125,5
0.33360434,1.1523955,0.0012897046,0
-0.2737782,-0.434704,0.0019304755,9
0.15715432,-1.4526999,0.003575299,5
0.4018724,-1.6969047,0.00418241,5
0.67781496,-2.1131167,0.005004904,7
-0.25841033,-1.0744469,0.0025800238,9
1.5000942,1.5968564,0.0026085451,1
0.3497846,1.6025081,0.0008732821,0
-0.805044,0.76839864,-4.647777e-05,6
-0.010800719,0.2848994,0.0016212766,4
0.94780874,1.1582649,0.0022075404,3
1.319824,0.959956,0.002961128,1
-0.04008913,0.6226497,0.0012465087,4
-1.2659631,-0.72481626,0.0007225991,8
-0.47386324,1.3540392,-0.000121941324,4
0.79228663,1.4461501,0.0016917826,3
-0.46113372,0.58930606,0.000646031,0
-1.032109,1.1588161,-0.0007702158,2
-0.21969414,0.7743301,0.0008279091,4
-0.7612586,1.0098085,-0.00021702715,4
1.1600292,-1.9611697,0.0055812257,5
1.0917816,0.29437882,0.003269956,3
-0.49350405,0.8083896,0.00038282806,6
0.47833276,0.06435734,0.0025727465,6
0.5427954,0.14518267,0.002590535,0
-0.24823737,0.069034636,0.0014756175,8
0.28528047,-0.25624365,0.0025963862,5
-0.49641776,0.45021874,0.00072916923,2
2.1745617,1.2437527,0.003968508,1
-0.576573,1.6592133,-0.0005752148,6
-0.6731765,1.2249584,-0.0002952534,6
0.054370284,-1.9133315,0.0038717943,7
-0.31205523,-1.2693875,0.0026902445,9
0.28571105,-1.4964917,0.0038114917,5
-0.36540222,-0.5495278,0.0019051358,9
-0.6105591,0.752401,0.00026163575,2
-0.11093235,-1.7624366,0.003475471,7
0.7367604,1.4377744,0.0016164887,3
0.24634004,1.196584,0.001115215,0
0.522768,1.5145836,0.0012194945,3
1.2109463,0.7872756,0.0029664976,3
1.0188658,0.84225947,0.002623824,3
-0.05703616,-1.8055699,0.003598751,7
-0.892505,1.519696,-0.0009136677,2
0.05237329,0.37664038,0.0016264389,2
0.3381977,1.5561664,0.0009012369,6
0.37685037,1.026474,0.0014780366,6
0.42806053,0.4252618,0.0021437523,8
1.2136996,0.85357934,0.002905712,3
1.5895491,-0.20779604,0.0045101843,3
0.048894644,-0.5722837,0.0025503996,5
-0.0075167418,0.7502429,0.0011705481,0
0.6708038,-1.4197936,0.0043154554,5
1.4209929,-1.425931,0.0054495297,5
0.8155863,1.4753346,0.0016982406,0
-0.965758,0.8807964,-0.000398205,2
0.21369302,1.6609795,0.00061138486,0
0.8026061,0.8053935,0.0023347319,0
-0.58598614,0.6131961,0.00043489644,4
1.9572005,0.40730387,0.004460715,1
-0.21288359,0.5988886,0.0010099434,3
1.6554327,1.2547243,0.0031771464,1
0.47313452,0.7296818,0.0019134404,6
1.1086323,0.85917383,0.002742244,3
1.9065039,1.0095313,0.0037947786,1
-0.095418215,1.4056828,0.0003965597,4
0.26317477,0.61011106,0.001714807,4
-1.0544927,0.38290662,-4.409952e-05,6
1.8023803,0.6836868,0.0039572753,1
-0.37213778,-0.86113316,0.0022001332,9
1.6281419,1.3000555,0.0030917204,1
1.147393,0.20968705,0.0034365095,3
0.58174276,-0.6780519,0.003455216,5
-0.07550347,-2.0347226,0.003795369,7
-0.3091352,-0.50707954,0.0019481794,9
-0.08080757,-1.4517498,0.0032165432,7
1.6454916,1.0592189,0.003353638,1
0.44308972,-1.8695285,0.0044134227,7
-0.2581178,-0.37690884,0.0018974307,9
-0.17537332,-1.3489046,0.0029736375,9
0.055639744,-1.0112948,0.0029904242,9
1.1313326,0.24843198,0.0033744206,3
-0.03620553,0.26799995,0.0015996236,2
-0.27621567,-1.3034465,0.0027774877,9
0.8383448,1.1233001,0.0020771767,3
-0.3332833,0.5961562,0.00083157304,6
0.35588455,0.34227115,0.0021164855,4
2.552839,1.3468447,0.004436378,1
1.2660811,1.4852879,0.0023659065,1
-1.0419736,-0.76289505,0.0010967006,8
-0.9887996,-0.1889838,0.000614682,8
0.7301316,1.6271248,0.0014211079,0
2.5317156,0.6359046,0.005100771,1
2.5233228,1.1743119,0.004560939,1
-0.29666364,0.47826988,0.0010020733,6
-1.4091713,-1.2105522,0.0009828913,8
1.6393516,1.1643755,0.0032414352,1
-0.14153373,-1.2002141,0.002878924,9
-0.18292403,-1.9105775,0.0035122773,7
-1.314959,-0.78636545,0.00070919294,8
-1.384584,-1.4486616,0.0012530214,8
0.08265686,-1.2954237,0.0033092708,9
-0.39101934,0.9479211,0.0004003048,6
0.9039564,0.620519,0.0026681633,6
1.0041492,0.4709013,0.0029653306,3
1.6009135,0.4020291,0.003930129,1
0.3510263,-0.5819585,0.0030141906,5
-0.74875045,0.5183987,0.0002829727,4
-0.037172675,0.34431416,0.0015234419,6
0.1424191,-2.1370761,0.004223286,7
0.6596918,-1.4447982,0.0043232306,5
0.41590428,-1.4770601,0.0039882367,5
-0.27915466,-0.8825955,0.0023609684,9
-0.102850914,0.3897943,0.0013801467,2
-0.9497271,1.0645988,-0.00055407954,2
-0.3112651,0.80819327,0.000657054,2
-0.024974704,-1.9062712,0.0037455698,7
0.4225304,0.82040423,0.0017485109,6
-0.35306585,1.4666808,-5.0596544e-05,4
1.4470184,0.7056287,0.0034014299,1
-0.80338824,-1.3930271,0.0020724921,8
0.48701787,-2.182477,0.0047859186,7
0.14529347,-1.9649165,0.004059029,7
0.76194596,-1.3166425,0.0043515004,5
-0.066702366,0.5009671,0.0013256425,4
-0.84352577,1.2971592,-0.00062210823,2
-0.2578721,-0.40186304,0.0019222354,9
1.7150562,0.6441243,0.003864705,1
0.34534574,-2.0501094,0.0044432697,7
-0.7234645,1.2704024,-0.0004153708,4
-0.34971106,0.8539123,0.0005544743,6
-0.13447738,-1.589324,0.003270553,9
0.042946577,-1.2317367,0.0031871954,7
1.7776606,1.5620756,0.0030599814,1
-1.4262645,-1.0454261,0.0007954957,8
0.62891436,-1.8134923,0.0046379776,7
1.7621846,0.6876815,0.0038929214,1
-0.64601827,1.074332,-0.00010692119,2
-0.69013333,-1.1894097,0.002043411,8
0.32527924,1.306499,0.001126287,0
-0.1839416,-0.45623225,0.0020866438,9
1.1012716,1.2824655,0.002316686,1
-1.0883963,-1.200927,0.0014558181,8
-0.0408988,-1.5477769,0.0033705845,7
0.18652415,1.7035949,0.0005288011,0
0.6531446,-1.6800766,0.004543772,5
-1.1940988,-0.15020019,0.00026799482,8
-1.0731039,0.7906214,-0.0004713221,6
-0.003114462,-2.0820706,0.0039505847,7
-0.62967193,1.4922335,-0.0004915524,2
0.99034643,1.0728848,0.0023551097,0
-1.1230712,-1.2297392,0.0014318898,8
-0.029625416,-1.9331098,0.0037648566,7
1.901675,1.0395725,0.0037581003,1
0.46403527,0.74221903,0.0018874812,6
-0.8793986,-0.45502096,0.0010396938,2
-0.35271263,0.34036893,0.0010528252,1
-0.26061714,-1.5810297,0.003072754,9
-0.8568281,0.82114846,-0.0001759986,6
-0.8105589,1.0448844,-0.00032550696,0
1.9441416,1.2347944,0.003630796,1
0.27458882,1.9570689,0.00041302154,0
0.33929992,-0.43314165,0.0028508352,5
0.4597535,-0.80262417,0.0033937618,5
1.4912891,1.2119813,0.0029721768,1
-0.13789296,-1.6924641,0.0033664121,7
0.24005008,1.6876733,0.00062487926,0
0.2037127,-1.1557467,0.0033545308,5
-1.27762,-1.0966713,0.001069193,8
-0.5924828,1.3689814,-0.0003149418,4
0.28051758,0.83789283,0.0015178402,0
-0.384295,1.3492455,1.7437385e-05,4
0.050450206,-1.1945379,0.0031620534,0
-0.045677304,0.31875306,0.0015356829,6
-0.46862483,0.63546413,0.00058956863,6
-0.71154046,0.6848759,0.00017591007,4
1.1320765,1.0166504,0.002623295,0
0.4752066,0.6131175,0.0020306967,0
-0.6052846,1.0083752,1.8915627e-05,4
-0.014804721,-1.8769996,0.0037321993,7
0.5575607,1.2446201,0.0015361626,3
0.39192748,1.6597271,0.00088062347,0
0.39475846,-0.8950626,0.0033865445,5
-1.3356771,-1.732141,0.0016041477,8
-0.43604314,1.0460725,0.00023649167,4
1.6221116,0.5944608,0.0037735747,1
2.1044636,1.0431094,0.0040595722,1
-1.33782,0.9450315,-0.0010205768,2
0.11517465,-0.9870898,0.0030562459,9
-0.63661385,0.79769427,0.00017810566,2
0.98479605,0.34032184,0.0030640927,8
0.42734528,-1.7163789,0.004239783,5
0.53461695,0.27575237,0.002450382,0
-0.6682918,0.80681324,0.00012154179,6
-0.42888725,0.8748774,0.00041488756,3
-0.6517317,0.83013,0.00012361142,4
0.20562494,0.9951884,0.0012511988,6
0.50002384,0.605902,0.00207508,0
-0.1271019,-0.88670474,0.0025936349,9
1.843313,0.2564922,0.004437138,1
0.45455956,-1.8299522,0.004391917,7
0.90617657,0.68974286,0.0026037176,3
-0.564093,-0.06491703,0.0011318293,8
0.2874987,-0.69973654,0.0030339928,5
-0.5706836,-0.14291435,0.0011982946,8
0.93603015,0.5348037,0.0028003259,3
-1.6041332,-0.58344686,7.566041e-05,8
0.27587628,-1.3465915,0.0036499198,5
-1.2206657,0.67599535,-0.00058096927,2
0.4269998,1.159859,0.0014228353,0
-1.4244415,-0.17977673,-4.9411552e-05,8
-0.084355354,-1.4076989,0.003168074,7
0.99456215,1.2829704,0.002155732,0
1.1741619,0.6380053,0.0030573509,3
0.13245273,-1.2294009,0.0033194995,5
0.24277234,1.901777,0.00041932112,0
-1.4573514,-0.63304263,0.00034494174,6
-0.17287242,-1.0580196,0.002692562,5
-0.46127045,1.1151185,0.0001309471,2
0.22852814,-1.9196622,0.0041398765,7
0.61699176,-1.2866302,0.0041041435,5
-0.8232631,0.66005605,3.221573e-05,2
0.6239431,1.1023214,0.0017753218,6
-1.0702133,-0.43860644,0.0007366912,8
-1.0397629,0.8356816,-0.00046530995,2
-0.54099774,0.61207074,0.0005036477,6
-0.47202718,-1.2814958,0.0024615498,8
0.17063892,2.1495411,6.824173e-05,0
